id_venta,medicamento_id,nombre_medicamento,cantidad_vendida,precio_unitario,precio_total,fecha_hora,empleado,receta
V_1,M_1,Paracetamol 500mg,2,30.0,60.0,2026-04-20 08:15:30,carlos,
V_2,M_2,Ibuprofeno 400mg,1,45.0,45.0,2026-04-20 08:45:00,carlos,
V_3,M_3,Amoxicilina 500mg,3,28.0,84.0,2026-04-20 09:12:15,luis_rodriguez,Receta Dr. García
V_4,M_4,Dextrometorfano,1,19.0,19.0,2026-04-20 09:30:45,diego_hernandez,
V_5,M_5,Loratadina 10mg,2,11.0,22.0,2026-04-20 10:05:20,pedro_garcia,
V_6,M_6,Omeprazol 20mg,1,16.5,16.5,2026-04-20 10:22:30,carlos,
V_7,M_7,Metformina 500mg,4,14.0,56.0,2026-04-20 10:50:15,luis_rodriguez,
V_8,M_8,Atorvastatina 10mg,1,19.0,19.0,2026-04-20 11:15:45,diego_hernandez,
V_9,M_9,Lisinopril 10mg,2,17.0,34.0,2026-04-20 11:45:20,pedro_garcia,
V_10,M_10,Simvastatina 20mg,1,18.5,18.5,2026-04-20 12:10:30,carlos,
V_11,M_11,Fluconazol 150mg,1,110.0,110.0,2026-04-20 12:40:15,luis_rodriguez,Receta Dr. López
V_12,M_12,Cetirizina 10mg,3,10.0,30.0,2026-04-20 13:05:45,diego_hernandez,
V_13,M_13,Ranitidina 150mg,2,13.0,26.0,2026-04-20 13:35:20,pedro_garcia,
V_14,M_14,Diclofenaco 50mg,1,11.5,11.5,2026-04-20 14:00:30,carlos,
V_15,M_15,Naproxeno 500mg,2,14.5,29.0,2026-04-20 14:30:15,luis_rodriguez,
V_16,M_16,Ketorolaco 10mg,3,14.0,42.0,2026-04-20 15:00:45,diego_hernandez,
V_17,M_17,Piroxicam 20mg,1,15.5,15.5,2026-04-20 15:25:20,pedro_garcia,
V_18,M_18,Meloxicam 7.5mg,2,16.0,32.0,2026-04-20 15:55:30,carlos,
V_19,M_19,Etoricoxib 90mg,1,17.5,17.5,2026-04-20 16:20:15,luis_rodriguez,
V_20,M_20,Ciprofloxacino 500mg,1,19.5,19.5,2026-04-20 16:45:45,diego_hernandez,
V_21,M_21,Azitromicina 500mg,2,35.0,70.0,2026-04-20 17:10:20,pedro_garcia,
V_22,M_22,Metronidazol 500mg,3,12.5,37.5,2026-04-20 17:40:30,carlos,
V_23,M_23,Ceftriaxona 1g,1,250.0,250.0,2026-04-21 08:15:15,luis_rodriguez,
V_24,M_24,Penicilina V 500mg,2,10.5,21.0,2026-04-21 08:45:45,diego_hernandez,
V_25,M_25,Trimetoprima 160mg,1,13.5,13.5,2026-04-21 09:10:20,pedro_garcia,
V_26,M_26,Vitamina C 500mg,4,8.5,34.0,2026-04-21 09:35:30,carlos,
V_27,M_27,Vitamina D3 1000IU,2,9.5,19.0,2026-04-21 10:00:15,luis_rodriguez,
V_28,M_28,Vitamina B12 1000mcg,1,11.0,11.0,2026-04-21 10:25:45,diego_hernandez,
V_29,M_29,Acido Folico 400mcg,3,7.5,22.5,2026-04-21 10:50:20,pedro_garcia,
V_30,M_30,Hierro 325mg,2,12.0,24.0,2026-04-21 11:15:30,carlos,
V_31,M_31,Calcio 600mg,1,13.0,13.0,2026-04-21 11:40:15,luis_rodriguez,
V_32,M_32,Zinc 50mg,2,10.5,21.0,2026-04-21 12:05:45,diego_hernandez,
V_33,M_33,Magnesio 400mg,1,11.5,11.5,2026-04-21 12:30:20,pedro_garcia,
V_34,M_34,Potasio 99mg,3,9.5,28.5,2026-04-21 12:55:30,carlos,
V_35,M_35,Ácido Acetilsalicílico 500mg,2,9.0,18.0,2026-04-21 13:20:15,luis_rodriguez,
V_36,M_36,Codeína 30mg,1,14.0,14.0,2026-04-21 13:45:45,diego_hernandez,Receta Dr. Martínez
V_37,M_37,Tramadol 50mg,1,16.5,16.5,2026-04-21 14:10:20,pedro_garcia,Receta Dr. Rodríguez
V_38,M_38,Morfina 10mg,1,20.0,20.0,2026-04-21 14:35:30,carlos,Receta Hospital Central
V_39,M_39,Gabapentina 300mg,2,17.5,35.0,2026-04-21 15:00:15,luis_rodriguez,
V_40,M_40,Pregabalina 150mg,1,19.0,19.0,2026-04-21 15:25:45,diego_hernandez,Receta Dr. Pérez
V_41,M_41,Levotiroxina 75mcg,3,14.5,43.5,2026-04-21 15:50:20,pedro_garcia,
V_42,M_42,Hidroclorotiazida 25mg,2,12.5,25.0,2026-04-21 16:15:30,carlos,
V_43,M_43,Furosemida 40mg,1,13.5,13.5,2026-04-21 16:40:15,luis_rodriguez,
V_44,M_44,Enalapril 10mg,2,15.5,31.0,2026-04-21 17:05:45,diego_hernandez,
V_45,M_45,Propranolol 40mg,1,14.5,14.5,2026-04-21 17:30:20,pedro_garcia,
V_46,M_46,Verapamilo 80mg,3,16.5,49.5,2026-04-21 17:55:30,carlos,
V_47,M_47,Diltiazem 30mg,2,15.0,30.0,2026-04-22 08:20:15,luis_rodriguez,
V_48,M_48,Amlodipina 5mg,1,16.0,16.0,2026-04-22 08:45:45,diego_hernandez,
V_49,M_49,Enalapril 20mg,2,17.0,34.0,2026-04-22 09:10:20,pedro_garcia,
V_50,M_50,Clorpromazina 100mg,1,18.0,18.0,2026-04-22 09:35:30,carlos,
V_51,M_11,Fluconazol 150mg,1,110.0,110.0,2026-05-10 21:30:31,carlos,Receta Dr. Silva
V_52,M_15,Naproxeno 500mg,1,14.5,14.5,2026-05-10 21:30:31,carlos,
V_53,M_7,Metformina 500mg,1,14.0,14.0,2026-05-10 21:30:31,carlos,
V_54,M_3,Amoxicilina 500mg,1,28.0,28.0,2026-05-10 21:30:31,carlos,Receta Dr. González
V_55,M_1,Paracetamol 500mg,1,30.0,30.0,2026-05-17 21:21:12,carlos,
V_56,M_1,Paracetamol 500mg,1,30.0,30.0,2026-05-18 10:46:33,Andres,
V_57,M_3,Amoxicilina 500mg,1,28.0,28.0,2026-05-18 10:46:33,Andres,4000
V_58,M_12,Cetirizina 10mg,1,10.0,10.0,2026-05-18 10:46:33,Andres,
V_59,M_10,Simvastatina 20mg,1,18.5,18.5,2026-05-18 10:46:33,Andres,
